City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp (F),Wind Speed
Jamestown,US,1584164385,42.1,-79.24,1,67,35.01,11.41
Albany,US,1584164356,42.6,-73.97,1,55,39.99,14.99
Vila Velha,BR,1584164584,-20.33,-40.29,75,94,75.2,3.36
Torbay,CA,1584164538,47.67,-52.73,75,79,28.0,23.04
Ilulissat,GL,1584164558,69.22,-51.1,100,71,3.2,17.22
Norman Wells,CA,1584164550,65.28,-126.83,75,71,8.6,3.36
Vaini,TO,1584164534,-21.2,-175.2,75,94,77.0,14.99
Khatanga,RU,1584164542,71.97,102.5,100,94,6.49,12.75
Takoradze,GH,1584164619,4.88,-1.76,1,94,77.47,3.89
Kalakamati,BW,1584164786,-20.59,27.31,40,100,66.2,2.24
Ancud,CL,1584164576,-41.87,-73.82,20,100,42.8,3.04
Mataura,NZ,1584164536,-46.19,168.86,6,76,61.41,4.68
Ribeira Grande,PT,1584164534,38.52,-28.7,81,79,55.56,5.01
Cabo San Lucas,MX,1584164416,22.89,-109.91,40,73,72.0,5.82
Ushuaia,AR,1584164284,-54.8,-68.3,40,50,51.8,12.75
Vao,NC,1584164660,-22.67,167.48,100,89,79.5,18.28
Geraldton,AU,1584164554,-28.77,114.6,90,51,86.0,12.75
Nome,US,1584164649,64.5,-165.41,90,86,33.8,12.75
Kerman,IR,1584165095,30.28,57.08,75,19,50.0,4.43
Hermanus,ZA,1584164540,-34.42,19.23,8,95,59.0,3.0
Puerto Ayora,EC,1584164541,-0.74,-90.35,62,85,77.0,1.99
Lichinga,MZ,1584165101,-13.31,35.24,100,86,74.52,0.94
Atuona,PF,1584164553,-9.8,-139.03,51,68,82.47,10.47
Mogadishu,SO,1584164573,2.04,45.34,82,83,82.31,19.33
George Town,MY,1584164536,5.41,100.34,20,59,93.2,6.93
Rikitea,PF,1584164535,-23.12,-134.97,19,76,77.04,10.49
Hilo,US,1584164434,19.73,-155.09,90,83,72.0,8.05
Acton,GB,1584165114,51.51,-0.28,100,87,46.0,10.29
Mount Gambier,AU,1584164513,-37.83,140.77,40,45,64.4,21.92
Mar del Plata,AR,1584164537,-38.0,-57.56,90,93,66.2,28.86
Lebu,CL,1584164560,-37.62,-73.65,4,93,47.19,4.7
Yulara,AU,1584164583,-25.24,130.99,0,14,96.8,12.75
Busselton,AU,1584164533,-33.65,115.33,100,29,86.0,16.87
Lieksa,FI,1584165127,63.32,30.02,17,56,17.33,16.08
Port Lincoln,AU,1584164609,-34.73,135.87,56,60,63.37,18.39
Lompoc,US,1584164476,34.64,-120.46,90,81,55.4,5.82
Longyearbyen,SJ,1584164608,78.22,15.64,40,63,-5.8,21.92
Saint George,US,1584164579,37.1,-113.58,90,93,50.0,3.36
Carutapera,BR,1584164844,-1.2,-46.02,100,76,81.86,11.12
Halmstad,SE,1584165140,56.67,12.86,0,73,26.6,1.12
Carballo,ES,1584165142,43.21,-8.69,90,100,48.99,3.36
Halifax,CA,1584164690,44.65,-63.57,20,86,41.0,16.11
Nhulunbuy,AU,1584164630,-12.23,136.77,40,59,91.4,11.41
Qaanaaq,GL,1584165148,77.48,-69.36,0,58,-22.0,5.57
Altamont,US,1584165150,42.21,-121.74,90,64,39.99,13.87
Castro,BR,1584165152,-24.79,-50.01,67,90,56.95,3.98
Bilibino,RU,1584164584,68.05,166.44,100,95,-14.15,10.36
Chui,UY,1584165157,-33.7,-53.46,0,88,70.23,9.08
